Product Name,Original Price,Sale Price,Percentage Off,Product Category,Product Code,Rating,Link
"NOMA 42 Pint 2-Speed LED Dehumidifier, Bucket/Continuous Drain, ENERGY STAR® Most Efficient, White",349.99,249.99,29.0,home-environment,043-0753-6,4.2,https://www.canadiantire.ca/en/pdp/noma-42-pint-2-speed-led-dehumidifier-bucket-continuous-drain-energy-star-most-efficient-white-0430753p.html#srp
"CANVAS Renfrew Square Outdoor Patio Conversation Dining Set w/UV-Resistant Cushions, 3-pc",1499.99,974.99,35.0,backyard-living,088-2040-4,3.8,https://www.canadiantire.ca/en/pdp/canvas-renfrew-square-outdoor-patio-conversation-dining-set-w-uv-resistant-cushions-3-pc-0882040p.html#srp
"Coleman Hampton 3-Season, 9-Person, 2-Room Camping Cabin Tent w/ Room Divider, Rain Fly & Carry Bag",419.99,239.99,43.0,camping,076-5183-4,3.8,https://www.canadiantire.ca/en/pdp/coleman-hampton-3-season-9-person-2-room-camping-cabin-tent-w-room-divider-rain-fly-carry-bag-0765183p.html#srp
"Sauder 2-Door Storage/Pantry Cabinet With Adjustable Shelves, White",114.99,89.99,22.0,home-decor,168-0054-4,3.4,https://www.canadiantire.ca/en/pdp/sauder-2-door-storage-pantry-cabinet-with-adjustable-shelves-white-1680054p.html#srp
"Gardena Wall Mounted Auto Hose Reel with Nozzle, 115-ft",249.99,219.99,12.0,outdoor-tools,059-6548-4,4.6,https://www.canadiantire.ca/en/pdp/gardena-wall-mounted-auto-hose-reel-with-nozzle-115-ft-0596548p.html#srp
"Mastercraft 6-Drawer, 2-Door Wooden Top Base Storage Cabinet with Shelf & Wheels, Diamond Series, 77 x 20 x 38-in",899.99,599.99,33.0,tools,068-7305-4,4.6,https://www.canadiantire.ca/en/pdp/mastercraft-6-drawer-2-door-wooden-top-base-storage-cabinet-with-shelf-wheels-diamond-series-77-x-20-x-38-in-0687305p.html#srp
"Outbound 3-Piece Hardside Spinner Wheel Travel Luggage Suitcase Set, Assorted",459.99,159.99,65.0,camping,076-0860-2,3.5,https://www.canadiantire.ca/en/pdp/outbound-3-piece-hardside-spinner-wheel-travel-luggage-suitcase-set-assorted-0760860p.html#srp
Outbound Queen Flocked Double-High Inflatable Air Mattress/Airbed w/ 110V Pump & Carry Bag,149.99,89.99,40.0,camping,076-6021-4,3.2,https://www.canadiantire.ca/en/pdp/outbound-queen-flocked-double-high-inflatable-air-mattress-airbed-w-110v-pump-carry-bag-0766021p.html#srp
"Outbound 3-Season, 8-Person, 2-Room Camping Dome Tent w/ Room Divider, Rain Fly & Carry Bag",249.99,174.99,30.0,camping,076-5454-0,3.9,https://www.canadiantire.ca/en/pdp/outbound-3-season-8-person-2-room-camping-dome-tent-w-room-divider-rain-fly-carry-bag-0765454p.html#srp
"JumpTek Outdoor Round Trampoline with Safety Enclosure,12-ft",479.99,299.99,38.0,backyard-fun,084-0211-8,4.1,https://www.canadiantire.ca/en/pdp/jumptek-outdoor-round-trampoline-with-safety-enclosure-12-ft-0840211p.html#srp
"Bestway Hydro-Force Inflatable Stand Up Paddle Board/Kayak, 10-ft",799.99,399.99,50.0,seasonal-recreation,079-2042-2,4.6,https://www.canadiantire.ca/en/pdp/bestway-hydro-force-inflatable-stand-up-paddle-board-kayak-10-ft-0792042p.html#srp
"Heritage The Rock Forged Non-Stick Cookware Set, Dishwasher & Oven Safe, Black, 10-pc",599.99,149.99,75.0,kitchen,142-7071-0,4.4,https://www.canadiantire.ca/en/pdp/heritage-the-rock-forged-non-stick-cookware-set-dishwasher-oven-safe-black-10-pc-1427071p.html#srp
"Napoleon Rebel Propane Gas BBQ Grill with Four Burners, Graphite Grey, Folding Side Shelves, Cast Iron Cooking Grids",749.99,699.99,7.0,backyard-living,085-0040-2,4.5,https://www.canadiantire.ca/en/pdp/napoleon-rebel-propane-gas-bbq-grill-with-four-burners-graphite-grey-folding-side-shelves-cast-iron-cooking-grids-0850040p.html#srp
"Mastercraft Vertical-Tilt Portable Floor Fan, 3-Speed, Black, 20-in",64.99,51.99,20.0,home-environment,043-7331-8,4.4,https://www.canadiantire.ca/en/pdp/mastercraft-vertical-tilt-portable-floor-fan-3-speed-black-20-in-0437331p.html#srp
"Mastercraft Heavy Duty Stackable Storage Box with Lid, 102-L, Black/Blue",26.99,14.99,44.0,home-organization,142-6045-0,4.6,https://www.canadiantire.ca/en/pdp/mastercraft-heavy-duty-stackable-storage-box-with-lid-102-l-black-blue-1426045p.html#srp
"Honeywell TurboForce 2-in-1 Electric Air Circulator & Power Tower Fan, 6-Speed, Black",159.99,127.99,20.0,home-environment,043-0934-6,4.1,https://www.canadiantire.ca/en/pdp/honeywell-turboforce-2-in-1-electric-air-circulator-power-tower-fan-6-speed-black-0430934p.html#srp
Champion 3000 PSI 2.5 GPM 196cc Engine Cold Water Wheeled Gas Pressure Washer,799.99,499.99,38.0,car-care-accessories,039-8058-6,4.7,https://www.canadiantire.ca/en/pdp/champion-3000-psi-2-5-gpm-196cc-engine-cold-water-wheeled-gas-pressure-washer-0398058p.html#srp
"Castrol EDGE 5W30 Synthetic Engine/Motor Oil, 5-L",72.99,39.99,45.0,auto-maintenance,028-9212-8,4.7,https://www.canadiantire.ca/en/pdp/castrol-edge-5w30-synthetic-engine-motor-oil-5-l-0289212p.html#srp
Certified 1800 PSI 1.4 GPM Corded Cold Water Wheeled Brushed Electric Pressure Washer w/ Foam Blaster,149.99,,,car-care-accessories,399-0992-0,3.8,https://www.canadiantire.ca/en/pdp/certified-1800-psi-1-4-gpm-corded-cold-water-wheeled-brushed-electric-pressure-washer-w-foam-blaster-3990992p.html#srp
Vileda EasyWring Spin Mop & Bucket System,44.99,39.75,12.0,cleaning,142-0400-0,4.4,https://www.canadiantire.ca/en/pdp/vileda-easywring-spin-mop-bucket-system-1420400p.html#srp
"Pelican Magna 100 Packaged 1-Person Kayak with Paddle, Lime, 10-ft",599.99,499.99,17.0,seasonal-recreation,079-8599-2,4.7,https://www.canadiantire.ca/en/pdp/pelican-magna-100-packaged-1-person-kayak-with-paddle-lime-10-ft-0798599p.html#srp
"Black + Decker BDC120VACA 20V Cordless Drill with Battery, Charger & 100-pc Accessory Set, 3/8-in",189.99,69.99,63.0,tools,054-3199-2,4.4,https://www.canadiantire.ca/en/pdp/black-decker-bdc120vaca-20v-cordless-drill-with-battery-charger-100-pc-accessory-set-3-8-in-0543199p.html#srp
