,Product Name,Original Price,Clearance Price,Rating,Product Code,Percentage Off
0,Bluehive Mouse Pad with Wireless Charger,29.99,,4.5,035-8045-4,
1,"Greenies Original Teenie Oral Care Dental Dog Treats, 170-g",9.99,6.43,4.5,142-5662-6,64.0
2,"CANVAS Summerfields Outdoor Dinner Plates, 1-pc",4.99,0.93,4.7,059-7340-0,19.0
3,"Chrome Clearance Light, Amber",7.99,3.93,2.5,020-3409-4,49.0
4,"Chrome Clearance Light, Red",7.99,3.93,0.0,020-3410-8,49.0
5,Amber Cab Marker,7.29,0.93,0.0,020-3472-0,13.0
6,"Klassen Garage Sale Sign, 9 x 12-in",4.99,0.43,0.0,046-3122-4,9.0
7,Bluehive 4-port Power Station,51.99,12.93,4.0,035-5304-6,25.0
8,"Outbound Kids' Cove Closed Toe Hiking Shoes/Sandals with Durable Outsole, Grey/Green",39.99,14.93,3.3,187-2778X,37.0
9,Hoover® ONEPWR™ Handheld Sprayer,149.99,39.93,4.7,043-8643-0,27.0
10,"Technoform Laundry Tub Conversion Kit, Black",28.99,4.93,0.0,063-9885-0,17.0
11,"For Living Reversible 5-Blade 3-Speed Ceiling Fan with Lighting, 42-in, Oak/Walnut",99.99,59.93,3.7,052-9338-0,60.0
12,"Klassen For Sale By Owner Sign, 9 x 12-in",4.99,0.43,0.0,046-3121-6,9.0
13,"Klassen For Sale Inquire Sign, 8 x 12-in",2.19,0.23,0.0,046-3117-8,11.0
14,"Hillman 851808 Low Done Floor Door Stop, Assorted Finishes, 1-pk",,5.99,3.4,046-1854X,
15,"CANVAS Bala Square Outdoor Patio Sectional Set w/UV-Resistant Cushions, 6-pc",1399.99,899.99,4.3,088-2042-0,64.0
16,CANVAS Baffin All-Weather Wicker Outdoor/Patio Conversation Set w/Custom Fit Cover,1699.99,1099.99,4.3,088-2273-0,65.0
17,"CANVAS Moraine All-Weather Wicker Outdoor/Patio Sectional Set, UV-Resistant Cushions, 5-pc",2499.99,1624.99,4.7,088-0542-2,65.0
18,CANVAS Breton All-Weather Wicker Outdoor Patio Armchair,349.99,239.99,4.1,088-2184-2,69.0
19,"CANVAS Collingwood Outdoor/Patio Hard-Top Gazebo, 10-ft x 12-ft",1999.99,1599.99,4.2,088-2022-8,80.0
20,"Suncast Vista 7 x 7 ft Resin Outdoor Storage Shed, Taupe",1549.99,899.99,4.3,060-3081-4,58.0
21,Keter Oakland 757,1799.99,,3.4,060-0589-6,
22,"The Floater Floating Lake Multiple-Person Water Mat, Yellow/Blue",699.99,499.99,4.6,079-7107-0,71.0
23,"Performix Plasti Dip® Multi-Purpose Rubber Coating Aerosol Spray, 311-g",,25.99,4.4,048-2222X,
24,"Yardworks Dry Seal Heavy-Duty PVC Garden Hose with Crush-Resistant Coupling, 5/8-inx80-ft",74.99,34.93,2.9,059-4297-2,47.0
25,"NOMA Outdoor Photocell Timer, Dusk to Dawn Sensor with Countdown, 1 Grounded Outlet, Black",19.49,7.43,4.4,052-8819-2,38.0
26,"Solignum Marine Interior/Exterior Alkyd Enamel Paint, High-Gloss, 3.78-L/1-Gallon",,60.99,4.0,048-9705X,
27,"For Living Olympia Reversible 5-Blade 3-Speed Ceiling Fan with Lighting & Remote, 52-in, Wench Wood/Cherry",219.99,84.93,3.9,052-2230-6,39.0
28,"CANVAS Rideau Outdoor/Patio Dining set w/ Fire Pit Table, 5-pc",1999.99,1399.99,3.5,088-0538-4,70.0
29,"Bestway Charcter Inflatable Pool with Shade, Assorted, 3 x 26-in",39.99,19.93,5.0,081-3442-6,50.0
