,Product Name,Original Price,Sale Price,Rating,Product Code,Percentage Off
0,"CANVAS Horizon Outdoor Patio Modular Pergola, 10-ft x 10-ft",1299.99,849.99,4.0,188-0240-2,65.0
1,"CANVAS Vernon All-Weather Wicker Casual Outdoor/ Patio Dining Set, 7-pc",2299.99,1599.99,4.1,188-0284-8,70.0
2,"Bahama & Co Sandal Scented Air Freshener, Waikiki Wild Hibiscus",4.49,2.93,0.0,037-1076-8,65.0
3,"Kraft Bubble Mailers, Size #2, 5-pk",6.99,0.93,4.8,067-6158-2,13.0
4,"Bahama & Co Scented Necklace Shaped Air Freshener, Waikiki Wild Hibiscus",4.49,2.93,0.0,037-1074-2,65.0
5,AXE Vent Clip Air Fresheners Gift Pack,,12.43,0.0,399-9261-6,
6,"Command Removable Self-Adhesive Hooks, Jumbo, White",6.79,3.93,0.0,061-0394-6,58.0
7,"Midwest Homes Maxx Pet Ultra-Durable Crate Pet Mat, Washable, Black, 42-in",69.99,44.93,3.7,142-1144-4,64.0
8,"CANVAS Hunter All-Weather Wicker Outdoor/Patio Padded Club Chair Set, 2-pk",899.99,584.99,0.0,188-0275-0,65.0
9,"Simoniz Tire Shine and Glass Cleaner Kit, 2-pack",,6.93,0.0,399-8761-2,
10,CANVAS Homestead Faux-Wood Outdoor Patio Hard Top Gazebo with Ceiling Hook,1999.99,1599.99,0.0,188-0291-0,80.0
11,Diono Radian 3RXT Car Seat,469.99,324.93,4.8,046-8821-0,69.0
12,"Kraft Bubble Mailers, Size #5, 5-pk",9.99,1.43,4.8,067-6159-0,14.0
13,"Nestle KitKat Chocolate Bunny, 29-g",1.29,0.49,0.0,151-5224-8,38.0
14,"CANVAS Horizon Outdoor Patio Modular Pergola, 10-ft x 10-ft",1299.99,849.99,4.0,188-0240-2,65.0
15,"CANVAS Vernon All-Weather Wicker Casual Outdoor/ Patio Dining Set, 7-pc",2299.99,1599.99,4.1,188-0284-8,70.0
16,"Bahama & Co Sandal Scented Air Freshener, Waikiki Wild Hibiscus",4.49,2.93,0.0,037-1076-8,65.0
17,"Kraft Bubble Mailers, Size #2, 5-pk",6.99,0.93,4.8,067-6158-2,13.0
18,"Bahama & Co Scented Necklace Shaped Air Freshener, Waikiki Wild Hibiscus",4.49,2.93,0.0,037-1074-2,65.0
19,AXE Vent Clip Air Fresheners Gift Pack,,12.43,0.0,399-9261-6,
20,"Command Removable Self-Adhesive Hooks, Jumbo, White",6.79,3.93,0.0,061-0394-6,58.0
21,"Midwest Homes Maxx Pet Ultra-Durable Crate Pet Mat, Washable, Black, 42-in",69.99,44.93,3.7,142-1144-4,64.0
22,"CANVAS Hunter All-Weather Wicker Outdoor/Patio Padded Club Chair Set, 2-pk",899.99,584.99,0.0,188-0275-0,65.0
23,"Simoniz Tire Shine and Glass Cleaner Kit, 2-pack",,6.93,0.0,399-8761-2,
24,CANVAS Homestead Faux-Wood Outdoor Patio Hard Top Gazebo with Ceiling Hook,1999.99,1599.99,0.0,188-0291-0,80.0
25,Diono Radian 3RXT Car Seat,469.99,324.93,4.8,046-8821-0,69.0
26,"Kraft Bubble Mailers, Size #5, 5-pk",9.99,1.43,4.8,067-6159-0,14.0
27,"Nestle KitKat Chocolate Bunny, 29-g",1.29,0.49,0.0,151-5224-8,38.0
28,"CANVAS Horizon Outdoor Patio Modular Pergola, 10-ft x 10-ft",1299.99,849.99,4.0,188-0240-2,65.0
29,"CANVAS Vernon All-Weather Wicker Casual Outdoor/ Patio Dining Set, 7-pc",2299.99,1599.99,4.1,188-0284-8,70.0
30,"Bahama & Co Sandal Scented Air Freshener, Waikiki Wild Hibiscus",4.49,2.93,0.0,037-1076-8,65.0
31,"Kraft Bubble Mailers, Size #2, 5-pk",6.99,0.93,4.8,067-6158-2,13.0
32,"Bahama & Co Scented Necklace Shaped Air Freshener, Waikiki Wild Hibiscus",4.49,2.93,0.0,037-1074-2,65.0
33,AXE Vent Clip Air Fresheners Gift Pack,,12.43,0.0,399-9261-6,
34,"Command Removable Self-Adhesive Hooks, Jumbo, White",6.79,3.93,0.0,061-0394-6,58.0
35,"Midwest Homes Maxx Pet Ultra-Durable Crate Pet Mat, Washable, Black, 42-in",69.99,44.93,3.7,142-1144-4,64.0
36,"CANVAS Hunter All-Weather Wicker Outdoor/Patio Padded Club Chair Set, 2-pk",899.99,584.99,0.0,188-0275-0,65.0
37,"Simoniz Tire Shine and Glass Cleaner Kit, 2-pack",,6.93,0.0,399-8761-2,
38,CANVAS Homestead Faux-Wood Outdoor Patio Hard Top Gazebo with Ceiling Hook,1999.99,1599.99,0.0,188-0291-0,80.0
39,Diono Radian 3RXT Car Seat,469.99,324.93,4.8,046-8821-0,69.0
40,"Kraft Bubble Mailers, Size #5, 5-pk",9.99,1.43,4.8,067-6159-0,14.0
41,"Nestle KitKat Chocolate Bunny, 29-g",1.29,0.49,0.0,151-5224-8,38.0
42,"CANVAS Horizon Outdoor Patio Modular Pergola, 10-ft x 10-ft",1299.99,849.99,4.0,188-0240-2,65.0
43,"CANVAS Vernon All-Weather Wicker Casual Outdoor/ Patio Dining Set, 7-pc",2299.99,1599.99,4.1,188-0284-8,70.0
44,"Bahama & Co Sandal Scented Air Freshener, Waikiki Wild Hibiscus",4.49,2.93,0.0,037-1076-8,65.0
45,"Kraft Bubble Mailers, Size #2, 5-pk",6.99,0.93,4.8,067-6158-2,13.0
