,Product Name,Original Price,Sale Price,Rating,Product Code,Percentage Off
0,"MASTER Chef Bakeware Set, 7-pc",129.99,49.99,4.7,142-5488-2,38.0
1,"Energizer Max Alkaline AAA Batteries, 24-pk",26.99,22.89,4.9,065-3167-2,85.0
2,"Gatorade Perform Sports Drink Variety Pack, 24 x 591-ml",22.79,18.99,4.5,053-5202-4,83.0
3,"Castrol EDGE 10W30 Synthetic Engine/Motor Oil, 5-L",78.99,42.99,4.7,028-9214-4,54.0
4,"VitaLife Chicken Tenders Dog Treats, 750-g",26.99,24.29,4.7,142-1048-4,90.0
5,"Mastercraft Heavy Duty Stackable Storage Box with Lid, 102-L, Black/Blue",26.99,14.99,4.6,142-6045-0,56.0
6,"VitaLife Sweet Potato & Duck Twists Dog Treats, 750-g",26.99,24.29,4.8,142-2554-2,90.0
7,"type A Transparent Stackable Storage Box with Lid, 72-L",19.99,11.99,4.0,142-2842-6,60.0
8,"Gatorade G2 Perform Sports Drink Variety Pack, 24 x 591-ml",22.79,18.99,4.5,053-5203-2,83.0
9,"Energizer Max Alkaline AA Batteries, 36-pk",26.99,22.89,4.9,065-3168-0,85.0
10,"FRANK Extra-Large Twist-Tie Contractor Garbage Bags, 40-pk, Black, 135-L",29.99,23.99,4.7,042-8595-6,80.0
11,"Bounce Dryer Sheets, Fresh Linen, 200-pk",10.99,9.99,4.7,153-0612-0,91.0
12,"Vileda Oskar Broom with Dustpan, Angle Broom & Ecofibre",12.99,11.69,4.6,042-9807-8,90.0
13,"Mastercraft Heavy Duty Stackable Storage Box with Lid, 70-L, Black/Blue",21.99,13.99,4.6,142-2822-4,64.0
14,"Mastercraft Heavy Duty Storage Box with Wheels and Latched Lid, 210-L, Black/Blue",54.99,37.99,4.2,142-1294-6,69.0
15,"Mastercraft Tinted Transparent Heavy Duty Storage Box with Latched Lid, Assorted Sizes",19.99,15.99,4.5,142-1677X,80.0
16,"PADERNO Richmond Satin Stainless Steel Flatware Set, Serves 4, 20-pc",129.99,49.99,4.4,142-3403-6,38.0
17,"Keurig Folgers Morning Cafe® Light Roast K-Cup® Coffee Pods, 336-g, 48-pk",27.99,24.99,4.7,153-2526-4,89.0
18,"sWheat Scoop Wheat-Based Natural Multi-Cat Clumping Cat Litter, 11.3-kg",34.99,31.49,3.6,142-6520-8,90.0
19,"Keurig Folgers Lively Colombian Medium Roast K-Cup® Coffee Pods, 432-g, 48-pk",27.99,24.99,4.7,153-2529-8,89.0
20,"Keurig Starbucks Dark Roast Verona K-Cup® Coffee Pods, 288-g, 24-pk",24.49,19.99,4.7,153-4008-6,82.0
21,"Pine-Sol Lavender Multi-Surface Cleaner and Deodorizer, 4.25-L",16.99,15.29,4.6,153-0511-0,90.0
22,"VitaLife Duck Tenders Dog Treats, 400-g",15.99,14.39,4.8,142-1934-4,90.0
23,"sWheat Scoop Wheat-Based Natural Fast Clumping Cat Litter, 11.3-kg",29.99,26.99,4.1,142-6521-6,90.0
24,"Castrol GTX 10W30 Conventional Engine/Motor Oil, 5-L",56.99,30.99,4.7,028-9205-6,54.0
25,"Castrol EDGE High Mileage 5W20 Synthetic Engine/Motor Oil, 5-L",83.99,45.99,4.9,028-9957-6,55.0
26,"VitaLife Sweet Potato & Duck ReciPe Twists Dog Treats, 400-g",15.99,14.39,4.7,142-4086-4,90.0
27,"PADERNO Richmond Polished Stainless Steel Flatware Set, Serves 4, 20-pc",129.99,49.99,4.7,142-3402-8,38.0
28,"Bounce Dryer Sheets Free & Gentle, Unscented, 200-pk",10.99,9.99,4.4,153-0782-4,91.0
29,"PADERNO Laurier 20pc Stainless Steel Flatware Set, Serves 4",129.99,49.99,4.8,142-2871-6,38.0
